Name,Heteronyms
一,"一󠇡,一󠇢"
丄,丄󠇡
万,万󠇡
上,上󠇡
不,"不󠇡,不󠇢,不󠇣"
且,且󠇡
両,両󠇡
两,两󠇡
个,个󠇡
中,中󠇡
丼,丼󠇡
丽,丽󠇡
乂,乂󠇡
乔,乔󠇡
乗,乗󠇡
乘,乘󠇡
乚,乚󠇡
乜,乜󠇡
乢,"乢󠇡,乢󠇢"
乨,乨󠇡
乱,乱󠇡
乹,乹󠇡
乾,乾󠇡
乿,乿󠇡
亀,"亀󠇡,亀󠇢"
亁,亁󠇡
亃,亃󠇡
了,了󠇡
亇,亇󠇡
予,予󠇡
亏,亏󠇡
亘,"亘󠇡,亘󠇢,亘󠇣"
些,"些󠇡,些󠇢"
亜,亜󠇡
亝,"亝󠇡,亝󠇢,亝󠇣"
亟,亟󠇡
亢,亢󠇡
亣,"亣󠇡,亣󠇢"
亰,亰󠇡
亲,亲󠇡
亹,亹󠇡
亾,亾󠇡
什,什󠇡
仆,仆󠇡
仇,仇󠇡
仌,仌󠇡
从,"从󠇡,从󠇢,从󠇣"
仏,"仏󠇡,仏󠇢"
仔,仔󠇡
仡,"仡󠇡,仡󠇢"
仦,仦󠇡
仧,"仧󠇡,仧󠇢"
仮,"仮󠇡,仮󠇢"
仯,仯󠇡
仱,仱󠇡
任,任󠇡
仼,仼󠇡
伖,伖󠇡
伙,伙󠇡
会,"会󠇡,会󠇢,会󠇣"
伛,伛󠇡
伨,伨󠇡
伯,伯󠇡
估,估󠇡
伺,伺󠇡
伽,伽󠇡
伿,伿󠇡
佂,佂󠇡
佃,佃󠇡
佄,佄󠇡
体,体󠇡
佗,佗󠇡
余,余󠇡
佛,"佛󠇡,佛󠇢,佛󠇣,佛󠇤"
作,"作󠇡,作󠇢"
佡,佡󠇡
佪,佪󠇡
佱,"佱󠇡,佱󠇢,佱󠇣"
佲,佲󠇡
佷,佷󠇡
佻,佻󠇡
侅,侅󠇡
侌,"侌󠇡,侌󠇢"
侗,侗󠇡
供,供󠇡
侠,侠󠇡
価,価󠇡
侱,侱󠇡
侳,侳󠇡
侸,侸󠇡
侻,"侻󠇡,侻󠇢"
便,便󠇡
係,係󠇡
俆,俆󠇡
俇,俇󠇡
俒,俒󠇡
俔,俔󠇡
俛,俛󠇡
俞,俞󠇡
俟,俟󠇡
俥,俥󠇡
俩,俩󠇡
俹,俹󠇡
俺,俺󠇡
俼,"俼󠇡,俼󠇢"
倆,倆󠇡
個,"個󠇡,個󠇢"
倎,倎󠇡
們,們󠇡
倒,倒󠇡
倔,倔󠇡
倞,倞󠇡
倠,倠󠇡
倡,倡󠇡
値,値󠇡
倥,倥󠇡
倰,倰󠇡
倶,倶󠇡
倹,倹󠇡
偄,偄󠇡
假,假󠇡
偈,偈󠇡
偋,偋󠇡
偐,偐󠇡
偒,偒󠇡
偕,偕󠇡
偖,偖󠇡
偦,偦󠇡
偨,偨󠇡
偪,偪󠇡
偲,偲󠇡
偺,偺󠇡
傀,傀󠇡
傁,傁󠇡
傋,傋󠇡
傌,傌󠇡
傍,傍󠇡
傒,傒󠇡
傓,傓󠇡
傛,"傛󠇡,傛󠇢"
傰,傰󠇡
